reward_today,future_reward,delay,key_resp.keys,K,,
89,90,76,t,0.000147842,,
78,80,162,t,0.000158278,,
89,92,167,t,0.000201844,,0.013587496
75,80,184,t,0.000362319,,
87,92,156,l,0.000368406,,
78,81,87,t,0.000442087,,
89,92,69,t,0.00048852,,
90,92,45,t,0.000493827,,
66,69,87,l,0.000522466,,
91,98,146,t,0.00052687,,
96,98,36,t,0.000578704,,
22,23,78,l,0.000582751,,
90,93,56,t,0.000595238,,
79,82,55,t,0.000690449,,
87,90,45,t,0.000766284,,
76,80,65,t,0.000809717,,
76,80,56,t,0.00093985,,
66,71,78,l,0.000971251,,
67,75,119,t,0.001003386,,
59,69,167,t,0.001014919,,
89,92,29,t,0.00116234,,
38,40,44,t,0.001196172,,
89,93,35,t,0.001284109,,
38,40,39,t,0.001349528,,
65,72,64,t,0.001682692,,
26,30,87,t,0.001768347,,
56,62,55,t,0.001948052,,
76,78,12,t,0.002192982,,
45,54,86,t,0.002325581,,
87,95,39,t,0.002357795,,
49,60,89,t,0.002522357,,
64,75,56,t,0.003069196,,
45,50,36,t,0.00308642,,
58,70,66,t,0.003134796,,
48,54,36,t,0.003472222,,
52,62,52,t,0.003698225,,
67,70,12,l,0.003731343,,
15,20,86,t,0.003875969,,
78,96,59,t,0.003911343,,
11,20,176,t,0.00464876,,
80,90,25,t,0.005,,
92,98,13,t,0.005016722,,
91,98,15,t,0.005128205,,
92,98,12,t,0.005434783,,
24,40,122,l,0.005464481,,
54,67,44,t,0.00547138,,
34,50,78,t,0.006033183,,
40,55,62,t,0.006048387,,
36,39,13,l,0.006410256,,
43,98,189,t,0.006767565,,
29,40,56,t,0.006773399,,
86,92,9,l,0.007751938,,
35,70,128,t,0.0078125,,
77,91,23,t,0.007905138,,
83,89,9,l,0.008032129,,
44,58,36,l,0.008838384,,
34,40,19,t,0.009287926,,
55,78,44,t,0.009504132,,
15,29,89,t,0.010486891,,
12,30,139,t,0.010791367,,
56,75,29,t,0.011699507,,
85,98,13,l,0.011764706,,
61,80,26,t,0.011979823,,
79,92,12,l,0.01371308,,
69,74,5,l,0.014492754,,
19,68,167,t,0.015442799,,
29,68,87,t,0.015457788,,
23,43,54,t,0.01610306,,
45,80,45,t,0.017283951,,
19,40,56,t,0.019736842,,
39,56,21,t,0.020757021,,
17,50,79,l,0.024571854,,
24,70,78,t,0.02457265,,
25,80,72,t,0.030555556,,
15,35,43,t,0.031007752,,
38,54,12,l,0.035087719,,
55,77,11,l,0.036363636,,
27,50,21,t,0.040564374,,
36,56,12,l,0.046296296,,
13,78,87,t,0.057471264,,
22,59,29,t,0.05799373,,
3,40,189,t,0.065255732,,
26,76,24,l,0.080128205,,
15,35,13,l,0.102564103,,
18,40,11,t,0.111111111,,
34,38,1,t,0.117647059,,
9,94,78,t,0.121082621,,
22,76,19,l,0.129186603,,
8,48,36,t,0.138888889,,
78,90,1,t,0.153846154,,
1,20,99,t,0.191919192,,
65,80,1,l,0.230769231,,
11,30,7,l,0.246753247,,
9,70,23,l,0.29468599,,
5,50,26,l,0.346153846,,
36,50,1,l,0.388888889,,
11,40,5,t,0.527272727,,
44,78,1,t,0.772727273,,
2,40,24,l,0.791666667,,
1,78,59,l,1.305084746,,
